"sheet","brand","excel_name","target_sql_name","status"
"Архитектурные","LLumar","Illision(1,83)","","unmatched"
"Тонировка","LLumar","IRXTM 05 CH SR HPR","IRXTM 05 CH SR HPR","prefix_or_exact"
"Тонировка","LLumar","IRXTM 15 CH SR HPR","IRXTM 15 CH SR HPR","prefix_or_exact"
"Тонировка","LLumar","IRXTM 35 CH SR HPR","IRXTM 35 CH SR HPR","prefix_or_exact"
"Тонировка распродажа","LLumar","LA 20 S SR HPR","LLumar LA 20 S SR HPR","prefix_or_exact"
"Архитектурные","LLumar","LE 35 SR CDF","LLumar LE 35 SR CDF","prefix_or_exact"
"Архитектурные","LLumar","LE 50","LLumar LE 50","prefix_or_exact"
"Бронепленка","LLumar","LUXFIL   TPU  C1","LUXFIL   TPU  C1","prefix_or_exact"
"Бронепленка","LLumar","LUXFIL  TPH  А10","","unmatched"
"Тонировка","LLumar","LUXFIL AIR90   Blue","LUXFIL AIR90   Blue","prefix_or_exact"
"Тонировка распродажа","LLumar","LUXFIL BLACK 05","LUXFIL BLACK 05","prefix_or_exact"
"Тонировка распродажа","LLumar","LUXFIL BLACK 15","LUXFIL BLACK 15","prefix_or_exact"
"Тонировка распродажа","LLumar","LUXFIL BLACK 35","LUXFIL BLACK 35","prefix_or_exact"
"Тонировка распродажа","LLumar","LUXFIL BLACK 50","LUXFIL BLACK 50","prefix_or_exact"
"Тонировка распродажа","LLumar","LUXFIL BLACK 70","LUXFIL BLACK 70","prefix_or_exact"
"Тонировка распродажа","LLumar","LUXFIL BLACK 80","LUXFIL BLACK 80","prefix_or_exact"
"Тонировка","LLumar","LUXFIL CARBON NANO CERAMIC 0590","LUXFIL CARBON NANO CERAMIC 0590","prefix_or_exact"
"Тонировка","LLumar","LUXFIL CARBON NANO CERAMIC 1590","LUXFIL CARBON NANO CERAMIC 1590","prefix_or_exact"
"Тонировка","LLumar","LUXFIL CARBON NANO CERAMIC 3590","LUXFIL CARBON NANO CERAMIC 3590","prefix_or_exact"
"Тонировка","LLumar","LUXFIL CARBON NANO CERAMIC 5090","LUXFIL CARBON NANO CERAMIC 5090","prefix_or_exact"
"Тонировка","LLumar","LUXFIL CARBON NANO CERAMIC 7090","LUXFIL CARBON NANO CERAMIC 7090","prefix_or_exact"
"Тонировка","LLumar","LUXFIL CERAMIC IR7590","LUXFIL CERAMIC IR7590","prefix_or_exact"
"Бронепленка","LLumar","Luxfil ClearShield","Luxfil ClearShield","prefix_or_exact"
"Бронепленка","LLumar","Luxfil ClearShield Hard","Luxfil ClearShield Hard","prefix_or_exact"
"Бронепленка","LLumar","Luxfil ClearShield Light","Luxfil ClearShield Light","prefix_or_exact"
"Бронепленка","LLumar","Luxfil ClearShield Matt","","unmatched"
"Бронепленка","LLumar","Luxfil ClearShield Satin","","unmatched"
"Архитектурные","LLumar","LUXFIL DECO 12 (60м) Китай","","unmatched"
"Бронепленка","LLumar","Luxfil Matt = Mapro","Luxfil Matt = Mapro","prefix_or_exact"
"Бронепленка","LLumar","Luxfil PPF  Hydrophobic 3M Glue 7,5ml","Luxfil PPF  Hydrophobic 3M Glue 7,5ml","prefix_or_exact"
"Бронепленка","LLumar","Luxfil PPF Generation 1 TPU-S 7,5ml","Luxfil PPF Generation 1 TPU-S 7,5ml","prefix_or_exact"
"Бронепленка","LLumar","Luxfil PPF Generation 2 TPU-SW 7,5ml","Luxfil PPF Generation 2 TPU-SW 7,5ml","prefix_or_exact"
"Бронепленка","LLumar","Luxfil PPF Generation 3 TPU-SS 7,5ml","Luxfil PPF Generation 3 TPU-SS 7,5ml","prefix_or_exact"
"Тонировка","LLumar","LUXFIL PPF Tint 05 limited edition","LUXFIL PPF  Tint 05 limited edition","prefix_or_exact"
"Тонировка","LLumar","LUXFIL PPF Tint 15 limited edition","LUXFIL PPF  Tint 15 limited edition","prefix_or_exact"
"Бронепленка","LLumar","LUXFIL PPF TPH GLOSS","LUXFIL PPF TPH GLOSS","prefix_or_exact"
"Бронепленка","LLumar","LUXFIL PPF TPH MATTE","LUXFIL PPF TPH MATTE","prefix_or_exact"
"Бронепленка","LLumar","LUXFIL PPF TPU GLOSS A","LUXFIL PPF TPU GLOSS A","prefix_or_exact"
"Бронепленка","LLumar","LUXFIL PPF TPU GLOSS S","LUXFIL PPF TPU GLOSS S","prefix_or_exact"
"Бронепленка","LLumar","LUXFIL PPF TPU GLOSS SS","LUXFIL PPF TPU GLOSS SS","prefix_or_exact"
"Бронепленка","LLumar","LUXFIL PPF TPU MATTE","LUXFIL PPF TPU MATTE","prefix_or_exact"
"Бронепленка","LLumar","Luxfil Proffesional = Mapro","Luxfil Proffesional = Mapro","prefix_or_exact"
"Архитектурные","LLumar","LUXFIL SAFETY 12  light","LUXFIL SAFETY 12  light","prefix_or_exact"
"Архитектурные","LLumar","LUXFIL SAFETY 12 (1,83)  light","LUXFIL SAFETY 12 (1,83)  light","prefix_or_exact"
"Архитектурные","LLumar","LUXFIL SAFETY 2 light","LUXFIL SAFETY 2 light","prefix_or_exact"
"Архитектурные","LLumar","LUXFIL SAFETY 4  light","LUXFIL SAFETY 4  light","prefix_or_exact"
"Архитектурные","LLumar","LUXFIL SAFETY 4 (1,83)  light","LUXFIL SAFETY 4 (1,83)  light","prefix_or_exact"
"Архитектурные","LLumar","LUXFIL SAFETY 8  light","LUXFIL SAFETY 8  light","prefix_or_exact"
"Архитектурные","LLumar","LUXFIL SAFETY 8 (1,83)  light","LUXFIL SAFETY 8 (1,83)  light","prefix_or_exact"
"Бронепленка","LLumar","Matt","LLumar Matt","prefix_or_exact"
"Бронепленка","LLumar","Medium (средний топ)","","unmatched"
"Бронепленка","LLumar","Mono PPF (мягкий топ)","","unmatched"
"Бронепленка","LLumar","Mono PPF Matte","Mono PPF Matte","prefix_or_exact"
"Бронепленка","LLumar","Mono PRO  (твердый топ)","","unmatched"
"Бронепленка","LLumar","Mono TPU Black Gloss","Mono TPU Black Gloss","prefix_or_exact"
"Бронепленка","LLumar","MONO TPU Black Satin","MONO TPU Black Satin","prefix_or_exact"
"Бронепленка","LLumar","MONO TPU PPF Plus (мягкий топ)","","unmatched"
"Бронепленка","LLumar","MONO TPU Satin","MONO TPU Satin","prefix_or_exact"
"Архитектурные","LLumar","N 1020 SR PS 4","LLumar N 1020 SR PS 4","prefix_or_exact"
"Архитектурные","LLumar","N1020 SR CDF","LLumar N1020 SR CDF","prefix_or_exact"
"Архитектурные","LLumar","Natur 20 (1,524 )","","unmatched"
"Архитектурные","LLumar","Natur 20 (1,83 )","","unmatched"
"Архитектурные","LLumar","Natur 30 (1,83 )","","unmatched"
"Бронепленка","LLumar","Nexfil PPF Clear","Nexfil PPF Clear","prefix_or_exact"
"Архитектурные","LLumar","NR M PS 2 Белая","","unmatched"
"Архитектурные","LLumar","NRM SFD SR HPR горошек","","unmatched"
"Винил","Luxfil","ORACAL 8300 полупрозрач глянец","","unmatched"
"Винил","Luxfil","ORACAL 970 черный глянец","","unmatched"
"Бронепленка","LLumar","Platinum","","unmatched"
"Бронепленка","LLumar","Platinum Matt","","unmatched"
"Бронепленка","LLumar","PPF 11.5MIL CLEAR CAP","LLumar PPF 11.5MIL CLEAR CAP","prefix_or_exact"
"Бронепленка","LLumar","PPF GLOSS","LLumar PPF GLOSS","prefix_or_exact"
"Бронепленка","LLumar","PPF GLOSS Edge (торцы дверей)","","unmatched"
"Бронепленка","LLumar","PPF SELECT BLACK","","unmatched"
"Бронепленка","LLumar","Premium","Premium","prefix_or_exact"
"Бронепленка","LLumar","Premium Matte","Premium Matte","prefix_or_exact"
"Архитектурные","LLumar","R  silver 15(1,525х 60м)","","unmatched"
"Архитектурные","LLumar","R 20 SR CDF","","unmatched"
"Архитектурные","LLumar","R 35 SR HPR","LLumar R 35 SR HPR","prefix_or_exact"
"Архитектурные","LLumar","R BLUE 10","","unmatched"
"Архитектурные","LLumar","R GOLD 10","","unmatched"
"Архитектурные","LLumar","R GREEN 10","","unmatched"
"Архитектурные","LLumar","R GREY 10","","unmatched"
"Архитектурные","LLumar","R ORANGE 10","","unmatched"
"Архитектурные","LLumar","R PINK 10","","unmatched"
"Архитектурные","LLumar","R RED 10","","unmatched"
"Архитектурные","LLumar","R Silver 05(1,524х 30м)","","unmatched"
"Архитектурные","LLumar","R Silver 05(1,524х 60м)","","unmatched"
"Архитектурные","LLumar","R Silver 05(1,83х 30м)","","unmatched"
"Архитектурные","LLumar","R Silver 05(1,83х 60м)","","unmatched"
"Архитектурные","LLumar","R silver 15(1,524х30м)","","unmatched"
"Архитектурные","LLumar","R silver 15(1,83х 60м)","","unmatched"
"Архитектурные","LLumar","R silver 15(1,83х30м)","","unmatched"
"Архитектурные","LLumar","R silver 35 (1,525 х30м)","","unmatched"
"Архитектурные","LLumar","R silver 35 (1,83 х30м)","","unmatched"
"Архитектурные","LLumar","R silver 50 (1,525 х30м)","","unmatched"
"Бронепленка","LLumar","RAN   H","RAN   H","prefix_or_exact"
"Бронепленка","LLumar","RAN  M","RAN  M","prefix_or_exact"
"Бронепленка","LLumar","RAN  T","RAN  T","prefix_or_exact"
"Архитектурные","LLumar","Red Matte(1,524х30м п)","","unmatched"
"Архитектурные","LLumar","Red Matte(1,524х60м п)","","unmatched"
"Архитектурные","LLumar","RM PS 2 Зерк","","unmatched"
"Архитектурные","LLumar","S CL SR PS 4 (1,524)","LLumar S CL SR PS 4 (1,524)","prefix_or_exact"
"Архитектурные","LLumar","S CL SR PS 4 (1,83)","LLumar S CL SR PS 4 (1,83)","prefix_or_exact"
"Архитектурные","LLumar","S CL SR PS 8 (1,52)","LLumar S CL SR PS 8 (1,52)","prefix_or_exact"
"Архитектурные","LLumar","S CL SR PS 8 (1,83)","LLumar S CL SR PS 8 (1,83)","prefix_or_exact"
"Архитектурные","LLumar","S SI 20 SR PS 4","LLumar S SI 20 SR PS 4","prefix_or_exact"
"Тонировка распродажа","LLumar","SA 05 CH SR PS 4","LLumar SA 05 CH SR PS 4","prefix_or_exact"
"Тонировка распродажа","LLumar","SA 15 CH SR PS 4","LLumar SA 15 CH SR PS 4","prefix_or_exact"
"Тонировка распродажа","LLumar","SA 35 CH SR PS 4","LLumar SA 35 CH SR PS 4","prefix_or_exact"
"Тонировка распродажа","LLumar","SA 50 CH SR PS 4","LLumar SA 50 CH SR PS 4","prefix_or_exact"
"Архитектурные","LLumar","Safety 11 mil (1,524)","","unmatched"
"Архитектурные","LLumar","Safety 11 mil (1,83)","","unmatched"
"Архитектурные","LLumar","Safety 12 mil (1,524)","","unmatched"
"Архитектурные","LLumar","Safety 12 mil (1,83)","","unmatched"
"Архитектурные","LLumar","Safety 2 mil(1,524 х30м)","","unmatched"
"Архитектурные","LLumar","Safety 2 mil(1,83 х30м)","","unmatched"
"Архитектурные","LLumar","Safety 4 mil (1,83х30м)","","unmatched"
"Архитектурные","LLumar","Safety 4 mil(1,524х30м)","","unmatched"
"Архитектурные","LLumar","Safety 7 mil (1,83х30м)","","unmatched"
"Архитектурные","LLumar","Safety 7 mil(1,524 х30м)","","unmatched"
"Архитектурные","LLumar","Safety Ceramic Super IR 7080 BLUE","","unmatched"
"Архитектурные","LLumar","Safety Ceramic Super IR 7080 Green","","unmatched"
"Бронепленка","LLumar","Satin","Satin","prefix_or_exact"
"Бронепленка","LLumar","Satin (матт - сати)","","unmatched"
"Архитектурные","LLumar","Silver 05 EXT 2 mil (1,525 х30м)","","unmatched"
"Архитектурные","LLumar","Silver 05 EXT 2 mil (1,83 х30м)","","unmatched"
"Архитектурные","LLumar","Silver 05 EXT 2 mil (1,83 х60м)","","unmatched"
"Архитектурные","LLumar","Silver 05 EXT 4 mil (1,52 х30м)","","unmatched"
"Архитектурные","LLumar","Silver 15 EXT 2 mil (1,525 х30м)","","unmatched"
"Архитектурные","LLumar","Silver 15 EXT 2 mil (1,83 х30м)","","unmatched"
"Архитектурные","LLumar","Silver 15 EXT 2 mil (1,83 х60м)","","unmatched"
"Архитектурные","LLumar","Silver 15 EXT 3 mil (1,525 х30м)","","unmatched"
"Архитектурные","LLumar","Silver 15 EXT 4 mil(1,525 х30м)","","unmatched"
"Архитектурные","LLumar","Silver Blue 20 (1,524 х30м)","","unmatched"
"Архитектурные","LLumar","Silver Blue 20 (1,524 х60м)","","unmatched"
"Архитектурные","LLumar","Silver Blue P","","unmatched"
"Архитектурные","LLumar","silver bronze 10 (1,524 х30м)","","unmatched"
"Архитектурные","LLumar","silver bronze 20 (1,524 х30м)","","unmatched"
"Архитектурные","LLumar","silver bronze 20 (1,524 х60м)","","unmatched"
"Архитектурные","LLumar","Silver bronze matte (1,524х30м  п)","","unmatched"
"Архитектурные","LLumar","Silver matte (1,524х30м  п)","","unmatched"
"Архитектурные","LLumar","Silver Out (1,52 x 30 m)","","unmatched"
"Архитектурные","LLumar","Silver Safety 4 mil 15%","","unmatched"
"Архитектурные","LLumar","Sky 10 (1,524)","","unmatched"
"Архитектурные","LLumar","Sky 10 (1,83)","","unmatched"
"Архитектурные","LLumar","Sky 20 (1,524)","","unmatched"
"Архитектурные","LLumar","Sky 20 (1,83)","","unmatched"
"Бронепленка","LLumar","Soft (мягкий топ)","","unmatched"
"Тонировка","LLumar","Super IR 7080 BLUE NEW","Super IR 7080 BLUE    NEW+","prefix_or_exact"
"Тонировка","LLumar","Super IR 7080 GREEN","Super IR 7080 GREEN","prefix_or_exact"
"Бронепленка","LLumar","Valor","LLumar Valor","prefix_or_exact"
"Архитектурные","LLumar","White Matte мат белая(1,524х30м п)","","unmatched"
"Архитектурные","LLumar","White Matte мат белая(1,524х60м п)","","unmatched"
"Архитектурные","LLumar","White Matte мат белая(1,83х30м)","","unmatched"
"Архитектурные","LLumar","White Matte мат белая(1,83х60м)","","unmatched"
"Архитектурные","LLumar","White Out(1,524  х30м)","","unmatched"
"Бронепленка","LLumar","Xside","Xside","prefix_or_exact"
"Винил","Luxfil","КПМФ Матт (салон)","","unmatched"
"Винил","Luxfil","КПМФ прозрачная (салон)","","unmatched"
"Винил","Luxfil","КПМФ черная структурная","","unmatched"
"Винил","Luxfil","КПМФ черный глянец","","unmatched"
"Бронепленка","LLumar","Риджит","","unmatched"
